ステータス,モデル,データセット,dataset_seed,LSTMCell,optimizer,scheduler,batch,model.n_layers,model.d_model,units,output_units,エポック数,ode_solver_unfolds,input_mapping,検証精度 (Val Acc),テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),学習時間/epoch,訓練時 Memoey Allocated [MB],推論時 Memoey Allocated [MB],チェックポイントパス,wandbリンク,備考
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9472155570983887,38.48530578613281,39.832237243652344,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/h3ncc2i6,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9069511294364929,38.41045379638672,39.7666015625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/ys3c8c4b,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9069511294364929,38.41045379638672,39.7666015625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/ys3c8c4b,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8981370329856873,38.939422607421875,39.84455871582031,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/9eh9p6nw,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8981370329856873,38.939422607421875,39.84455871582031,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/9eh9p6nw,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9011418223381042,39.00255584716797,41.24394989013672,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/boobih3x,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9011418223381042,39.00255584716797,41.24394989013672,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/boobih3x,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.4498197138309479,37.0338249206543,43.358638763427734,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/f0obwbt3,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.4498197138309479,37.0338249206543,43.358638763427734,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/f0obwbt3,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9114583134651184,39.59893035888672,41.3316650390625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/ijh6u137,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9114583134651184,39.59893035888672,41.3316650390625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/ijh6u137,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8777043223381042,36.3205451965332,37.95622253417969,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/upxuzra0,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8777043223381042,36.3205451965332,37.95622253417969,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/upxuzra0,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.2548076808452606,40.03215026855469,45.26494216918945,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/nvcl44ry,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.2548076808452606,40.03215026855469,45.26494216918945,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/nvcl44ry,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.5103164911270142,36.59812927246094,38.09770202636719,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/6o7xa1ca,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.5103164911270142,36.59812927246094,38.09770202636719,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/6o7xa1ca,
完了,sequence,mnist,3,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9015424847602844,39.13683319091797,42.098724365234375,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/g6vwr8oy,
完了,sequence,mnist,3,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9015424847602844,39.13683319091797,42.098724365234375,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/g6vwr8oy,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8877203464508057,39.00981521606445,41.23322296142578,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/9bk10a6l,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8877203464508057,39.00981521606445,41.23322296142578,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/9bk10a6l,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.25981569290161133,36.535823822021484,37.88915252685547,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/l7h848ve,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.25981569290161133,36.535823822021484,37.88915252685547,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/l7h848ve,
