ステータス,モデル,データセット,dataset_seed,LSTMCell,optimizer,scheduler,batch,model.n_layers,model.d_model,units,output_units,エポック数,ode_solver_unfolds,input_mapping,検証精度 (Val Acc),テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),学習時間/epoch,訓練時 Memoey Allocated [MB],推論時 Memoey Allocated [MB],チェックポイントパス,wandbリンク,備考
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9472155570983887,38.94245910644531,41.327171325683594,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/lrz4dcvt,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9472155570983887,38.94245910644531,41.327171325683594,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/lrz4dcvt,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.3342347741127014,36.07728958129883,39.7726936340332,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/vdmvh6rb,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.3342347741127014,36.07728958129883,39.7726936340332,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/vdmvh6rb,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9177684187889099,37.19994354248047,38.632869720458984,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/904ix32f,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9177684187889099,37.19994354248047,38.632869720458984,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/904ix32f,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.21864983439445496,36.30891799926758,37.5447998046875,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/g9i8xgy7,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.21864983439445496,36.30891799926758,37.5447998046875,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/g9i8xgy7,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.4834735691547394,36.351585388183594,41.19739532470703,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/690ha053,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.4834735691547394,36.351585388183594,41.19739532470703,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/690ha053,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9180688858032227,36.63180160522461,37.947044372558594,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/5zplg1y6,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.9180688858032227,36.63180160522461,37.947044372558594,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/5zplg1y6,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.1393229216337204,39.26715850830078,41.67822265625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/lib8sozd,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.1393229216337204,39.26715850830078,41.67822265625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/lib8sozd,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.22205528616905212,39.004669189453125,40.707740783691406,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/lu7sea2s,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.22205528616905212,39.004669189453125,40.707740783691406,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/lu7sea2s,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.3988381326198578,36.089935302734375,42.71321487426758,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/gux9nlng,
