phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.69292068481445,64.98152923583984,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,62.4871711730957,66.54457092285156,36.39921951293945,48.0,,,,,/work/outputs/2025-09-09/15-57-59-761677/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9010000228881836,61.00347137451172,65.26573944091797,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9378571510314941,61.874290466308594,66.7297134399414,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,63.81675338745117,72.73819732666016,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/16-03-50-773756/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8209999799728394,60.964115142822266,64.7201919555664,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.925000011920929,62.70158767700195,66.16484069824219,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9549999833106995,61.58788299560547,65.38607788085938,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,60.45411682128906,64.43737030029297,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/16-11-31-815450/checkpoints/val/accuracy.ckpt
inference,-1,0,0.7590000033378601,61.57656478881836,64.84815216064453,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8385714292526245,61.18279266357422,64.46566772460938,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9330000281333923,61.0416145324707,64.7459945678711,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9329166412353516,61.13190460205078,64.92251586914062,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,62.45839309692383,66.01707458496094,36.398826599121094,48.0,,,,,/work/outputs/2025-09-09/16-20-56-740246/checkpoints/val/accuracy.ckpt
inference,-1,0,0.7509999871253967,61.00162124633789,64.2994384765625,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8178571462631226,62.38066101074219,65.20555114746094,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9210000038146973,61.45600128173828,64.74562072753906,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9275000095367432,62.14944839477539,64.68843841552734,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9389285445213318,62.449771881103516,66.06195068359375,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,61.96043395996094,65.59642028808594,36.39901351928711,48.0,,,,,/work/outputs/2025-09-09/16-31-46-944730/checkpoints/val/accuracy.ckpt
