phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.13679885864258,64.3376693725586,36.78740310668945,48.0,,,,,N/A
inference,-1,0,0.7070000171661377,60.58891677856445,63.6943359375,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9228571653366089,60.93088150024414,63.115631103515625,36.787109375,49.5,,,,,N/A
inference,-1,0,0.597000002861023,61.799930572509766,65.28155517578125,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8335714340209961,62.04608154296875,68.04640197753906,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9430000185966492,60.51694869995117,64.17684173583984,36.787109375,49.16666793823242,,,,,N/A
inference,-1,0,0.5090000033378601,62.30891799926758,67.76850891113281,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.7714285850524902,61.75849914550781,67.54287719726562,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9070000052452087,61.46049499511719,64.3912124633789,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9266666769981384,61.023216247558594,63.717227935791016,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,0,0.45100000500679016,61.92231369018555,64.42882537841797,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.727142870426178,62.2462272644043,66.64185333251953,36.787109375,49.5,,,,,N/A
inference,-1,2,0.8629999756813049,61.6415901184082,65.792236328125,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.875,61.239559173583984,65.12010955810547,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.8867856860160828,61.16912841796875,64.57150268554688,36.78719711303711,49.411766052246094,,,,,N/A
