phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
training,-1,0,0.8859999775886536,60.584449768066406,64.09563446044922,36.39921951293945,48.0,,,,,/work/outputs/ltc_ncps/cil/pnn/Task_0/checkpoints/val/accuracy.ckpt
training,-1,1,0.9421428442001343,61.66219711303711,68.06509399414062,36.39892578125,49.5,,,,,/work/outputs/ltc_ncps/cil/pnn/Task_1/checkpoints/val/accuracy.ckpt
training,-1,2,0.9169999957084656,61.23597717285156,65.93716430664062,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/cil/pnn/Task_2/checkpoints/val/accuracy.ckpt
training,-1,3,0.9141666889190674,61.78260040283203,65.17263793945312,36.398826599121094,48.0,,,,,/work/outputs/ltc_ncps/cil/pnn/Task_3/checkpoints/val/accuracy.ckpt
training,-1,4,0.9121428728103638,62.32669448852539,69.29561614990234,36.39901351928711,48.0,,,,,/work/outputs/ltc_ncps/cil/pnn/Task_4/checkpoints/val/accuracy.ckpt
training,-1,0,0.9362499713897705,62.44786834716797,67.16728210449219,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_1/Task_0/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9362499713897705,61.1656379699707,63.9100456237793,36.787109375,48.0,,,,,N/A
training,-1,1,0.9662500023841858,61.228633880615234,64.66275024414062,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_1/Task_1/checkpoints/val/accuracy.ckpt
inference,-1,1,0.4583333432674408,60.87958908081055,64.37994384765625,36.7869758605957,49.09090805053711,,,,,N/A
training,-1,2,1.0,61.773677825927734,64.86856842041016,36.39921951293945,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_1/Task_2/checkpoints/val/accuracy.ckpt
inference,-1,2,0.3149999976158142,61.52128982543945,65.80146026611328,36.78672409057617,49.47368240356445,,,,,N/A
training,-1,0,0.8987500071525574,61.92279052734375,67.21524810791016,36.39892578125,50.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_2/Task_0/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8987500071525574,61.8179817199707,66.55004119873047,36.787109375,48.0,,,,,N/A
training,-1,1,0.96875,61.904544830322266,65.30913543701172,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_2/Task_1/checkpoints/val/accuracy.ckpt
inference,-1,1,0.4677777886390686,61.0435791015625,65.92371368408203,36.7869758605957,49.09090805053711,,,,,N/A
training,-1,2,0.9990000128746033,61.155189514160156,64.741455078125,36.39921951293945,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_2/Task_2/checkpoints/val/accuracy.ckpt
inference,-1,2,0.36821427941322327,61.19163513183594,62.779544830322266,36.78672409057617,49.47368240356445,,,,,N/A
training,-1,0,0.9287499785423279,62.10898208618164,67.67642211914062,36.39892578125,49.5,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_3/Task_0/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9287499785423279,61.32643508911133,64.0926742553711,36.787109375,48.0,,,,,N/A
training,-1,1,0.96875,61.644466400146484,64.66898345947266,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_3/Task_1/checkpoints/val/accuracy.ckpt
inference,-1,1,0.47777777910232544,61.060726165771484,63.48174285888672,36.7869758605957,49.09090805053711,,,,,N/A
training,-1,2,0.9739999771118164,61.66428756713867,66.28389739990234,36.39921951293945,49.599998474121094,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_3/Task_2/checkpoints/val/accuracy.ckpt
inference,-1,2,0.36892858147621155,60.41302490234375,63.793819427490234,36.78672409057617,49.47368240356445,,,,,N/A
training,-1,0,0.8987500071525574,64.9921646118164,74.70252990722656,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_4/Task_0/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8987500071525574,61.715538024902344,65.5453109741211,36.787109375,48.0,,,,,N/A
training,-1,1,0.9674999713897705,61.638832092285156,65.768310546875,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_4/Task_1/checkpoints/val/accuracy.ckpt
inference,-1,1,0.4772222340106964,61.43606948852539,66.80180358886719,36.7869758605957,49.09090805053711,,,,,N/A
training,-1,2,0.9869999885559082,62.32811737060547,67.9697265625,36.39921951293945,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_4/Task_2/checkpoints/val/accuracy.ckpt
inference,-1,2,0.36821427941322327,61.737823486328125,69.14698028564453,36.78672409057617,49.47368240356445,,,,,N/A
training,-1,0,0.9712499976158142,62.527530670166016,68.39295959472656,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_5/Task_0/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9712499976158142,60.8300895690918,64.42485046386719,36.787109375,48.0,,,,,N/A
training,-1,1,0.9674999713897705,62.86346435546875,67.5892105102539,36.39892578125,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_5/Task_1/checkpoints/val/accuracy.ckpt
inference,-1,1,0.4722222089767456,60.862266540527344,66.42842864990234,36.7869758605957,49.09090805053711,,,,,N/A
training,-1,2,1.0,61.42503356933594,66.78541564941406,36.39921951293945,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil_each/pnn/seed_5/Task_2/checkpoints/val/accuracy.ckpt
