phase,phase_type,train_seed,test_seed,noise_level,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス,wandbリンク
test_only,training,-1,42,-1,0,0.8999999761581421,3.5152783393859863,5.930354118347168,287.50518798828125,300.0,,,,,/work/outputs/lstm/uci_har/cil/Task_0/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/2d2i8v01
test_only,training,-1,42,-1,0,0.8999999761581421,33.737613677978516,139.5327606201172,287.50518798828125,300.0,,,,,/work/outputs/2025-09-08/17-14-24-718601/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/uuwzasvb
test_only,training,-1,42,-1,1,0.9371428489685059,3.485853910446167,6.530111312866211,287.90087890625,300.0,,,,,/work/outputs/lstm/uci_har/cil/Task_1/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/6kl2u5pk
test_only,inference,-1,42,-1,0,0.7720000147819519,3.5394232273101807,6.1994547843933105,282.83819580078125,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/o4yk7z65
test_only,training,-1,42,-1,1,0.9421428442001343,3.4714622497558594,6.3237152099609375,287.5048828125,300.0,,,,,/work/outputs/2025-09-08/17-15-48-778439/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/72g7zd5c
test_only,training,-1,42,-1,2,0.9465000033378601,3.385206937789917,5.961084365844727,287.90087890625,300.0,,,,,/work/outputs/lstm/uci_har/cil/Task_2/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/e6urbglm
test_only,inference,-1,42,-1,1,0.7020000219345093,3.4628894329071045,5.57407808303833,282.83819580078125,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/xhrgn51l
test_only,inference,-1,42,-1,0,0.881428599357605,3.730424642562866,7.474623680114746,282.837890625,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/8g0moc74
test_only,training,-1,42,-1,2,0.9340000152587891,3.5354931354522705,6.935837268829346,287.5048828125,300.0,,,,,/work/outputs/2025-09-08/17-17-29-931073/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/okhl4bag
test_only,training,-1,42,-1,3,0.9237499833106995,3.2871201038360596,5.342382907867432,287.9007873535156,300.0,,,,,/work/outputs/lstm/uci_har/cil/Task_3/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/bhnazfs7
test_only,inference,-1,42,-1,2,0.6200000047683716,3.633709669113159,6.500007629394531,282.83819580078125,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/ulk8hyqx
test_only,inference,-1,42,-1,1,0.8178571462631226,3.6586050987243652,6.8726806640625,282.837890625,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/rkckgw9m
test_only,inference,-1,42,-1,0,0.9154999852180481,3.352966785430908,5.818155288696289,282.837890625,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/sn03yd36
test_only,training,-1,42,-1,3,0.9254166483879089,3.2578189373016357,4.695882797241211,287.5047912597656,300.0,,,,,/work/outputs/2025-09-08/17-19-30-068227/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/axig2jpp
test_only,training,-1,42,-1,4,0.9282143115997314,3.2707436084747314,4.377624034881592,287.9009704589844,300.0,,,,,/work/outputs/lstm/uci_har/cil/Task_4/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/z0mb6z6n
test_only,inference,-1,42,-1,3,0.6150000095367432,3.8047657012939453,7.205487251281738,282.83819580078125,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/e8lltgjw
test_only,inference,-1,42,-1,2,0.7871428728103638,3.740318536758423,7.1754889488220215,282.837890625,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/jhz2q8u5
test_only,inference,-1,42,-1,1,0.9054999947547913,3.2476956844329834,5.311477184295654,282.837890625,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/s2pdqbwa
test_only,inference,-1,42,-1,0,0.9129166603088379,3.468446969985962,5.525442600250244,282.8377990722656,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/cxiin55m
test_only,training,-1,42,-1,4,0.9160714149475098,3.667381525039673,7.366530418395996,287.5049743652344,300.0,,,,,/work/outputs/2025-09-08/17-21-46-036383/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/jw0scyqm
