phase,phase_type,train_seed,test_seed,noise_level,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス,wandbリンク
test_only,training,-1,42,-1,0,0.8859999775886536,62.56854248046875,67.3209457397461,36.39921951293945,48.0,,,,,/work/outputs/ltc_ncps/uci_har/cil/Task_0/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/2q48fi48
test_only,training,-1,42,-1,0,0.8859999775886536,61.22873306274414,65.31963348388672,36.39921951293945,48.0,,,,,/work/outputs/2025-09-08/17-24-06-861919/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/8qaekqr7
test_only,training,-1,42,-1,1,0.9485714435577393,70.6382064819336,116.66649627685547,36.78759765625,49.75,,,,,/work/outputs/ltc_ncps/uci_har/cil/Task_1/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/1kumno8a
test_only,inference,-1,42,-1,0,0.7239999771118164,60.85667037963867,64.76971435546875,36.78740310668945,48.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/4dh1wx0o
test_only,training,-1,42,-1,1,0.9421428442001343,61.98615264892578,66.91527557373047,36.39892578125,48.0,,,,,/work/outputs/2025-09-08/17-28-18-891331/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/6g3nutzj
test_only,training,-1,42,-1,2,0.9505000114440918,61.32112121582031,66.88311767578125,36.78759765625,50.0,,,,,/work/outputs/ltc_ncps/uci_har/cil/Task_2/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/n2kgkkdh
test_only,inference,-1,42,-1,1,0.6230000257492065,60.15065002441406,63.120487213134766,36.78740310668945,48.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/mo18q1gw
test_only,inference,-1,42,-1,0,0.8742856979370117,61.07344436645508,65.1080093383789,36.787109375,49.5,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/j7wyv6u9
test_only,training,-1,42,-1,2,0.9169999957084656,59.5815315246582,63.41823196411133,36.39892578125,48.0,,,,,/work/outputs/2025-09-08/17-33-56-961745/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/8bl1r1p6
test_only,training,-1,42,-1,3,0.9416666626930237,61.77806091308594,68.66091918945312,36.787498474121094,50.0,,,,,/work/outputs/ltc_ncps/uci_har/cil/Task_3/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/wkhx7hk2
test_only,inference,-1,42,-1,2,0.5509999990463257,60.73215103149414,63.28831481933594,36.78740310668945,48.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/hvoyk9hn
test_only,inference,-1,42,-1,1,0.7878571152687073,62.287742614746094,65.06291198730469,36.787109375,49.5,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/i73u12jm
test_only,inference,-1,42,-1,0,0.9279999732971191,74.64729309082031,133.8404998779297,36.787109375,49.16666793823242,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/q93hrc6m
test_only,training,-1,42,-1,3,0.9141666889190674,61.71953582763672,65.07191467285156,36.398826599121094,50.0,,,,,/work/outputs/2025-09-08/17-40-47-830355/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/sz138o47
test_only,training,-1,42,-1,4,0.9303571581840515,61.40798568725586,66.6448745727539,36.78768539428711,50.0,,,,,/work/outputs/ltc_ncps/uci_har/cil/Task_4/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/UCI-HAR-CIL/runs/9tjinpoq
test_only,inference,-1,42,-1,3,0.6069999933242798,61.235633850097656,64.60615539550781,36.78740310668945,48.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/c236lxit
test_only,inference,-1,42,-1,2,0.7835714221000671,87.29586029052734,202.9342041015625,36.787109375,49.5,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/7ttyt052
test_only,inference,-1,42,-1,1,0.8889999985694885,61.78700256347656,67.01600646972656,36.787109375,49.16666793823242,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/06prw1v5
test_only,inference,-1,42,-1,0,0.8987500071525574,61.976810455322266,65.16118621826172,36.787010192871094,49.33333206176758,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/g0t3jdbt
test_only,training,-1,42,-1,4,0.9121428728103638,60.84741973876953,63.16719055175781,36.39901351928711,48.0,,,,,/work/outputs/2025-09-08/17-48-55-508081/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/jcsw4hb5
