phase,phase_type,train_seed,test_seed,noise_level,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス,wandbリンク
test_only,inference,-1,42,N/A,0.9060714244842529,3.153146266937256,4.446993827819824,,,,282.8374938964844,288.0,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/0jcu02zc
test_only,inference,-1,42,-1.0,0.5878571271896362,3.8042094707489014,7.65025520324707,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/gh7k0qlx
test_only,inference,-1,42,-1.0,0.8792856931686401,3.8292810916900635,7.74844217300415,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/itxbcyh4
test_only,inference,-1,42,-1.0,0.543571412563324,3.1806039810180664,4.209502220153809,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/tbdqcl60
test_only,inference,-1,42,-1.0,0.8732143044471741,3.12353515625,3.639223337173462,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/7z170o05
test_only,inference,-1,42,-1.0,0.8839285969734192,3.7591230869293213,8.26948070526123,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/y7kn96d9
test_only,inference,-1,42,-1.0,0.2524999976158142,3.1786673069000244,3.9256203174591064,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/cag7zvd4
test_only,inference,-1,42,-1.0,0.8539285659790039,3.1501848697662354,3.9919826984405518,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/04h8zekw
test_only,inference,-1,42,-1.0,0.8514285683631897,3.133040189743042,3.708444356918335,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/db1x8pxp
test_only,inference,-1,42,-1.0,0.816428542137146,3.5722270011901855,6.517607688903809,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/q0zlpqaf
test_only,inference,-1,42,-1.0,0.7753571271896362,3.281489849090576,5.7653584480285645,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/yyqiz8wk
test_only,inference,-1,42,-1.0,0.8432142734527588,3.302377939224243,4.5488996505737305,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/afix2hg5
test_only,inference,-1,42,-1.0,0.7635714411735535,3.189856767654419,4.077768325805664,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/9m347vig
