Model,Task,Mode,AA,AIA,FM,IM,Task 0 Acc
RNN,0,partial,0.9182142615318298,0.9182142615318298,0.0,-0.017499983310699463,0.9182142615318298
RNN,1,partial,0.9144642949104309,0.9163392782211304,0.0014285445213317871,-0.008694589138031006,0.916785717010498
RNN,2,partial,0.9011904994646708,0.9112896853023105,0.011785686016082764,0.015146076679229625,0.9046428799629213
RNN,3,partial,0.8477678447961807,0.895409225175778,0.029166678587595623,0.16589903831481945,0.8928571343421936
RNN,4,partial,0.5609999835491181,0.828527376850446,0.2800000160932541,0.46576324105262756,0.6864285469055176
CNN,0,partial,0.8810714483261108,0.8810714483261108,0.0,-0.011428594589233398,0.8810714483261108
CNN,1,partial,0.8849999904632568,0.8830357193946838,-0.0010713934898376465,0.01059114933013916,0.8821428418159485
CNN,2,partial,0.8970237970352173,0.8876984119415283,-0.011964291334152222,0.007743537425994873,0.8953571319580078
CNN,3,partial,0.8765178620815277,0.8849032744765282,0.013333320617675781,0.051206886768341064,0.893928587436676
CNN,4,partial,0.6825714349746704,0.8444369065761567,0.1760714203119278,0.3340655565261842,0.8239285945892334
LSTM,0,partial,0.9024999737739564,0.9024999737739564,0.0,0.0053571462631223365,0.9024999737739564
LSTM,1,partial,0.9017857015132904,0.9021428376436234,0.0021428465843201794,0.01402711868286144,0.9003571271896362
LSTM,2,partial,0.9058333237965902,0.9033729996946124,-0.0003571510314940851,0.01347404718399059,0.9014285802841188
LSTM,3,partial,0.9047321528196335,0.9037127879758676,-0.0026190876960754763,0.02163797616958618,0.9117857217788696
LSTM,4,partial,0.7512142896652222,0.8732130883137386,0.13178570568561548,0.24296480417251598,0.8735714554786682
NCPS,0,partial,0.8671428561210632,0.8671428561210632,0.0,0.06321430206298839,0.8671428561210632
NCPS,1,partial,0.8774999976158142,0.8723214268684387,-0.00607144832611084,0.03649014234542847,0.8732143044471741
NCPS,2,partial,0.9051190614700317,0.8832539717356364,-0.025357156991958618,-0.0029383301734923206,0.8985714316368103
NCPS,3,partial,0.8403571546077728,0.8725297674536705,0.03797618548075358,0.15250003337860119,0.8992857336997986
NCPS,4,partial,0.5782857060432434,0.8136809551715851,0.2621428817510605,0.4477152824401856,0.7024999856948853
NCPS,5,partial,0.8311904817819595,0.8165992096066476,-0.03271427750587467,0.017905831336974987,0.4228571355342865
NCPS,6,partial,0.668520416532244,0.7954450963103042,0.2235714296499888,0.35978156328201283,0.821071445941925
